"Number","BaseUrl","MainConentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree","Article"
"79","https://www.cbsnews.com/news/stephen-calk-federal-savings-bank-ceo-charged-with-trying-to-trade-loans-for-trump-post/","section","p","7","1.0107219219207764","8","yes"
"80","https://www.cbsnews.com/news/facebook-ceo-mark-zuckerberg-should-step-down-says-former-security-head/","section","p","5","0.9954072833061218","8","yes"
"81","https://www.cbsnews.com/news/jayme-closs-case-jake-patterson-sentenced-for-murdering-couple-kidnapping-wisconsin-teen-today-2019-05-24/","section","p","5","1.0009723901748657","8","yes"
"82","https://www.cbsnews.com/news/bryan-cranston-on-network-as-a-warning-about-tribalism-among-news-audiences/","div","p","7","1.0386168956756592","13","yes"
"83","https://www.cbsnews.com/news/paul-whelan-russia-american-accused-spy-prison-abuse-harassment-today-2019-05-24/","section","p","6","1.0039955377578735","8","yes"
"84","https://www.cbsnews.com/news/colorado-caps-insulin-prices-colorado-becomes-first-state-to-cap-insulin-prices/","section","p","6","0.9932076334953308","8","yes"
"85","http://www.huffingtonpost.com/entry/climate-geoengineering-kim-stanley-robinson_us_5b4e54bde4b0de86f487b0b9","div","div","20","1.051851511001587","8","yes"
"86","https://www.huffpost.com/entry/trump-war-crimes-pardon_n_5ce80684e4b05c15deab8454","div","div","12","1.0564881563186646","8","yes"
"87","http://www.huffingtonpost.com/entry/hampton-bays-water_us_5b58f186e4b0fd5c73cb5b01","div","div","11","1.1363582611083984","8","yes"
"88","http://www.huffingtonpost.com/entry/environmental-activists-killed-every-week_us_5b55ed2be4b0de86f48f2fb6","div","div","7","1.0674952268600464","8","yes"
"89","http://www.huffingtonpost.com/entry/colombia-rainforest-deforestation-lawsuit_us_5b58a5c3e4b0de86f492ab66","div","div","6","1.002485752105713","8","yes"
"90","http://www.huffingtonpost.com/entry/andrew-wheeler-ethics-probe_us_5b5a7deae4b0fd5c73cd874c","div","div","14","1.0351219177246094","8","yes"
"91","http://www.huffingtonpost.com/entry/trump-fuel-economy-standards_us_5b106b1ae4b010565aaa80e4","div","div","10","1.0079524517059326","8","yes"
"92","http://www.huffingtonpost.com/entry/how-government-shutdown-would-affect-you_us_5b5f6308e4b0b15aba9b9b04","div","div","11","1.0536075830459595","8","yes"
"93","http://www.huffingtonpost.com/entry/america-china-recycling-crisis-landfills_us_5b5170b1e4b0de86f48b7740","div","div","18","1.125972032546997","8","yes"
"94","http://www.huffingtonpost.com/entry/lab-grown-chicken-cultured-clean-meat_us_58d4cc13e4b02a2eaab251fa","div","div","37","1.100542426109314","8","yes"
"95","http://www.huffingtonpost.com/entry/whale-dolphin-hybrid-not-new-species_us_5b5dcc26e4b0b15aba99a86a","div","div","5","1.0113712549209595","8","yes"
"96","http://www.huffingtonpost.com/entry/sarah-huckabee-sanders-enemy-of-the-people_us_5b63475be4b0b15abaa0f33f","div","div","18","1.0321109294891357","8","yes"
"97","http://www.huffingtonpost.com/entry/ny-times-climate-change_us_5b62058ce4b0de86f49d7b38","div","div","9","1.0327165126800537","8","yes"
"98","http://www.huffingtonpost.com/entry/plastic-pollution-what-you-can-do_us_5b50e369e4b0b15aba8cd8a1","div","div","7","1.024717926979065","8","yes"
"99","http://www.huffingtonpost.com/entry/ryan-zinke-growing-scandals_us_5b5496f2e4b0fd5c73c65990","div","div","25","1.0399806499481201","8","yes"
"100","http://www.huffingtonpost.com/entry/trump-epa-california-waiver-automakers_us_5b63110be4b0de86f49eb568","div","div","12","1.0752052068710327","8","yes"
"101","http://www.huffingtonpost.com/entry/opinion-gleick-new-york-times-climate-change_us_5b61fafbe4b0b15aba9f3959","div","div","6","1.009722113609314","8","yes"
"102","https://abcnews.go.com/Sports/kansas-city-chiefs-fan-charged-shining-laser-patriots/story?id=62290314","div","p","3","0.9958562850952148","11","yes"
"103","https://abcnews.go.com/US/federal-court-blocks-mississippis-fetal-heartbeat-law-taking/story?id=63264206","div","p","5","1.0246267318725586","11","yes"
"104","https://abcnews.go.com/US/man-abducted-13-year-jayme-closs-sentenced/story?id=63213591","div","p","4","1.0613220930099487","11","yes"
"105","https://abcnews.go.com/US/patrick-frazee-pleads-guilty-murder-fianc-kelsey-berreth/story?id=61503105","div","p","3","1.0224579572677612","11","yes"
"106","https://abcnews.go.com/US/year-boy-swept-flooded-creek-indiana-desperate-search/story?id=63252005","div","p","3","0.9980586171150208","11","yes"
"107","https://abcnews.go.com/International/wireStory/yemens-president-letter-chief-criticizes-envoy-63250123","div","p","11","1.0077176094055176","11","yes"
"108","https://abcnews.go.com/US/stormy-weather-awaits-plains-midwest-memorial-day-weekend/story?id=63249834","div","p","3","1.0027137994766235","11","yes"
"109","https://abcnews.go.com/US/oregon-state-college-student-falls-death-cliff-taking/story?id=63246641","div","p","3","1.0107519626617432","11","yes"
"110","https://abcnews.go.com/Sports/family-member-extort-nfl-star-tyrann-mathieu-million/story?id=63193064","div","p","4","1.022235631942749","11","yes"
"111","https://abcnews.go.com/Politics/house-judiciary-chairman-jerry-nadler-appears-faint-york/story?id=63258876","div","p","3","1.0024513006210327","11","yes"
"112","https://abcnews.go.com/US/beverage-magnate-pleaded-guilty-college-admissions-scandal-assaulted/story?id=63255490","div","p","6","1.0114824771881104","11","yes"
"113","https://abcnews.go.com/Politics/trump-administration-rolls-back-obama-era-protection-transgender/story?id=63254875","div","p","8","1.0168253183364868","11","yes"
"114","https://abcnews.go.com/Politics/family-separations-occur-times-day-acting-homeland-security/story?id=63236385","div","div","2","1.003969669342041","11","yes"
"115","https://abcnews.go.com/US/missouri-governor-signs-sweeping-abortion-bill-week-ban/story?id=63256446","div","p","2","0.9963034987449646","11","yes"
"116","https://abcnews.go.com/International/wireStory/afghan-police-official-blast-kabul-mosque-kills-63249530","div","p","6","1.0029520988464355","11","yes"
"117","https://abcnews.go.com/Sports/tiger-woods-named-wrongful-death-lawsuit-family-man/story?id=63037526","div","p","3","1.0012749433517456","11","yes"
"118","https://abcnews.go.com/Sports/us-soccer-fires-back-lawsuit-womens-team-obligations/story?id=62880911","div","p","4","1.0254453420639038","11","yes"
"119","https://www.cnn.com/2019/05/23/politics/robocalls-congress-bill-passed/index.html","div","div","10","1.0058143138885498","11","yes"
"120","https://www.cnn.com/2019/05/21/health/climate-change-sea-levels-scn-intl/index.html","div","div","13","1.005721092224121","11","yes"
"121","https://www.cnn.com/2019/05/12/middleeast/mina-mangal-killed-kabul-intl/index.html","div","div","8","1.003606915473938","11","yes"
"122","https://www.cnn.com/2019/05/21/health/vienna-beef-hot-dog-recall-usda-trnd-bn/index.html","div","div","8","0.9989560842514038","10","yes"
"123","https://www.cnn.com/2018/11/05/health/national-health-service-prevention-not-cure-intl/index.html","div","div","14","1.0153998136520386","11","yes"
"124","https://www.cnn.com/2019/05/15/health/philadelphia-soda-tax-sales-decrease/index.html","div","div","5","0.994045615196228","11","yes"
"125","https://www.cnn.com/2019/05/21/health/judge-approves-west-point-cadet-order/index.html","div","div","7","0.999248743057251","10","yes"
"126","https://www.cnn.com/2019/05/24/asia/everest-climbers-intl/index.html","div","div","9","1.0014278888702393","11","yes"
"127","https://www.cnn.com/2019/05/21/asia/japan-name-abe-shinzo-intl/index.html","div","div","11","1.0025039911270142","11","yes"
"128","https://www.cnn.com/2019/05/21/health/iyw-custodian-day-trnd/index.html","div","div","10","1.004580020904541","11","yes"
"129","https://www.cnn.com/2019/05/13/africa/where-is-kenyatta-intl/index.html","div","div","9","0.9952208399772644","10","yes"
"130","https://www.cnn.com/2019/05/03/asia/elderly-australian-couple-meth-haul-intl-trnd/index.html","div","div","7","0.9965511560440063","10","yes"
"131","https://www.cnn.com/2019/05/17/africa/germany-to-return-namibia-art-scli-intl/index.html","div","div","8","0.9987958073616028","11","yes"
"132","https://www.cnn.com/style/article/australia-indigenous-language-coin-intl/index.html","div","div","10","1.0000985860824585","12","yes"
"133","https://www.cnn.com/2019/05/24/asia/child-sex-offenders-intl/index.html","div","div","7","0.9992985129356384","11","yes"
"134","https://www.cnn.com/2019/05/24/us/florida-wildfire-i95/index.html","div","div","7","0.9958515763282776","10","yes"
"135","https://www.cnn.com/2019/05/24/us/vietnam-veteran-memorial-vandalism/index.html","div","div","8","0.9988889098167419","10","yes"
"136","http://www.theverge.com/2017/9/7/16257412/rehabs-near-me-google-search-scam-florida-treatment-centers","div","p","7","1.5181779861450195","6","yes"
