"Number","BaseURl","Number","Date","Length","EndingSlash","ReservedWord","SlashCount"
"61","en/top-stories/arts/s-10553","true","false","27","false","false","3","non-article"
"62","en/berlins-olympic-stadium/g-18492472","true","false","37","false","false","2","non-article"
"63","en/top-stories/100-must-reads/s-43415865","true","false","40","false","false","3","non-article"
"64","en/top-stories/africa-on-the-move/s-32368","true","false","41","false","false","3","non-article"
"65","news/political-podcast-the-takeout/","false","false","35","true","false","2","non-article"
"66","pictures/2018-tony-awards-highlights-winners/","false","false","45","true","false","2","non-article"
"67","video/","false","false","6","true","true","1","non-article"
"68","video/north-korea-calls-meetings-with-pompeo-regrettable/","false","false","57","true","true","2","non-article"
"69","video/a-look-back-a-history-of-sunday-morning/","false","false","46","true","true","2","non-article"
"70","video/inside-the-assignment-cbs-news-crew-faces-surprising-accusations-while-reporting-in-russia/","false","false","97","true","true","2","non-article"
"71","video/one-of-pennsylvanias-youngest-elected-officials-talks-trump/","false","false","66","true","true","2","non-article"
"72","video/a-lost-generation-of-gender/","false","false","34","true","true","2","non-article"
"73","video/nature-sanibel-island/","false","false","28","true","true","2","non-article"
"74","video/using-our-data-to-become-more-human/","false","false","42","true","true","2","non-article"
"75","video/nepal-the-lost-girls/","false","false","27","true","true","2","non-article"
"76","video/729-rudy-giuliani-larry-kudlow-jeanne-shaheen/","false","false","52","true","true","2","non-article"
"77","","false","false","0","false","false","0","non-article"
"78","video/online-matchmaking-comes-to-the-zoo/","false","false","42","true","true","2","non-article"
"79","pictures/notable-deaths-in-2018/","false","false","32","true","false","2","non-article"
"80","video/from-2006-writer-tom-wolfe-on-journalism-and-voyeurism/","false","false","61","true","true","2","non-article"
"81","section/parents","false","false","15","false","false","1","non-article"
"82","section/queer-voices","false","false","20","false","false","1","non-article"
"83","section/politics","false","false","16","false","false","1","non-article"
"84","section/us-news","false","false","15","false","false","1","non-article"
"85","section/comedy","false","false","14","false","false","1","non-article"
"86","section/opinion","false","false","15","false","false","1","non-article"
"87","section/health","false","false","14","false","false","1","non-article"
"88","section/arts","false","false","12","false","false","1","non-article"
"89","section/style","false","false","13","false","false","1","non-article"
"90","section/money","false","false","13","false","false","1","non-article"
"91","section/celebrity","false","false","17","false","false","1","non-article"
"92","section/green","false","false","13","false","false","1","non-article"
"93","section/taste","false","false","13","false","false","1","non-article"
"94","section/world-news","false","false","18","false","false","1","non-article"
"95","section/black-voices","false","false","20","false","false","1","non-article"
"96","section/latino-voices","false","false","21","false","false","1","non-article"
"97","r/ProgrammerHumor/comments/bt93rv/having_nothing_to_say_shows_that_freedom_of/","false","false","78","true","false","5","non-article"
"98","r/gifs/comments/bt9pnh/somethings_not_right/","false","false","44","true","false","5","non-article"
"99","r/todayilearned/comments/bt9fqb/til_that_after_the_band_weezer_covered_the_song/","false","false","80","true","false","5","non-article"
"100","r/movies/comments/btawr2/john_wick_3_is_the_first_keanu_reeves_film_in/","false","false","71","true","false","5","non-article"
"101","r/aww/comments/bt9p28/waking_up_a_deaf_pup/","false","false","43","true","false","5","non-article"
"102","r/whatisthisthing/comments/btaj4y/suspicious_computer_chip_hidden_inside_stack_of/","false","false","82","true","false","5","non-article"
"103","r/gaming/comments/bt9hrn/my_ma_crocheted_me_a_snorlax_for_my_27th_birthday/","false","false","75","true","false","5","non-article"
"104","r/INDYCAR/comments/bt9j5k/race_thread_2019_103rd_running_of_the/","false","false","64","true","false","5","non-article"
"105","ThisWeek","false","false","8","false","false","0","non-article"
"106","Video","false","false","5","false","true","0","non-article"
"107","Live","false","false","4","false","false","0","non-article"
"108","Politics","false","false","8","false","false","0","non-article"
"109","US","false","false","2","false","false","0","non-article"
"110","Sports","false","false","6","false","false","0","non-article"
"111","Health","false","false","6","false","false","0","non-article"
"112","Lifestyle","false","false","9","false","false","0","non-article"
"113","Technology","false","false","10","false","false","0","non-article"
"114","TheView","false","false","7","false","false","0","non-article"
"115","business","false","false","8","false","false","0","non-article"
"116","Nightline","false","false","9","false","false","0","non-article"
"117","VR","false","false","2","false","false","0","non-article"
"118","WhatWouldYouDo","false","false","14","false","false","0","non-article"
"119","International","false","false","13","false","false","0","non-article"
"120","Entertainment","false","false","13","false","false","0","non-article"
"121","opinions","false","false","8","false","false","0","non-article"
"122","entertainment","false","false","13","false","false","0","non-article"
"123","middle-east","false","false","11","false","false","0","non-article"
"124","uk","false","false","2","false","false","0","non-article"
"125","europe","false","false","6","false","false","0","non-article"
"126","australia","false","false","9","false","false","0","non-article"
"127","health","false","false","6","false","false","0","non-article"
"128","asia","false","false","4","false","false","0","non-article"
"129","world","false","false","5","false","false","0","non-article"
"130","americas","false","false","8","false","false","0","non-article"
"131","africa","false","false","6","false","false","0","non-article"
"132","travel","false","false","6","false","false","0","non-article"
"133","politics","false","false","8","false","false","0","non-article"
"134","style","false","false","5","false","false","0","non-article"
"135","more","false","false","4","false","false","0","non-article"
"136","us","false","false","2","false","false","0","non-article"
"137","election/2018/results/house","false","false","27","false","false","3","non-article"
"138","recipes/guy-fieri/smokin-potato-salad-recipe2-2042935","true","false","53","false","false","2","non-article"
"139","recipes/giada-de-laurentiis/chicken-piccata-recipe2-1913809","true","false","59","false","false","2","non-article"
"140","recipes/long-island-iced-tea-lit-recipe-1944228","true","false","47","false","false","1","non-article"
"141","recipes/pina-colada-recipe0-1956362","true","false","35","false","false","1","non-article"
"142","recipes/giada-de-laurentiis/roman-style-chicken-recipe-1945439","true","false","62","false","false","2","non-article"
"143","recipes/food-network-kitchen/hasselback-beets-with-dill-yogurt-sauce-3642272","true","false","76","false","false","2","non-article"
"144","recipes/food-network-kitchen/ice-cream-in-a-bag-5233580","true","false","55","false","false","2","non-article"
"145","recipes/food-network-kitchen/grilled-chicken-with-avocado-pesto-3796532","true","false","71","false","false","2","non-article"
"146","business","false","false","8","false","false","0","non-article"
"147","trains","false","false","6","false","false","0","non-article"
"148","microsoft","false","false","9","false","false","0","non-article"
"149","tech","false","false","4","false","false","0","non-article"
"150","contact-the-verge","false","false","17","false","false","0","non-article"
"151","apple","false","false","5","false","false","0","non-article"
"152","tv-reviews","false","false","10","false","false","0","non-article"
"153","photography","false","false","11","false","true","0","non-article"
"154","phone-review","false","false","12","false","false","0","non-article"
"155","energy","false","false","6","false","false","0","non-article"
"156","smartwatch-review","false","false","17","false","false","0","non-article"
"157","google","false","false","6","false","false","0","non-article"
"158","cars","false","false","4","false","false","0","non-article"
"159","iphone-android-app-review","false","false","25","false","false","0","non-article"
"160","environment","false","false","11","false","false","0","non-article"
"161","news/av/world-us-canada-44961491/bruce-beach-has-built-a-10000-sq-ft-nuclear-bunker","true","false","83","false","false","3","non-article"
"162","news/av/world-asia-pacific-45022643/duterte-crushes-4m-worth-of-luxury-cars-in-philippines","true","false","90","false","false","3","non-article"
"163","news/av/world-africa-48342229/sierra-leone-what-is-life-like-for-the-prostitutes-of-freetown","true","false","92","false","false","3","non-article"
"164","news/science_and_environment","false","false","28","false","false","1","non-article"
"165","news/av/world-us-canada-40362067/north-america-prepares-for-august-solar-eclipse","true","false","80","false","false","3","non-article"
"166","news/england","false","false","12","false","false","1","non-article"
"167","news/av/world-asia-44998688/indonesia-earthquake-massive-damage-in-lombok-village","true","false","81","false","false","3","non-article"
"168","news/world/asia_pacific","false","false","23","false","false","2","non-article"
"169","news/newsbeat","false","false","13","false","false","1","non-article"
"170","news/av/world-asia-44983991/gurkha-women-it-s-my-turn-to-prove-myself","true","false","69","false","false","3","non-article"
"171","news/av/world-us-canada-40360953/florida-car-burglar-caught-with-his-pants-down","true","false","79","false","false","3","non-article"
"172","news/av/world-middle-east-40369547/blast-in-iraq-destroys-great-mosque-of-al-nuri","true","false","81","false","false","3","non-article"
"173","news/world/latin_america","false","false","24","false","false","2","non-article"
"174","news/world/middle_east","false","false","22","false","false","2","non-article"
"175","news/av/world-africa-45018914/dahomey-mothers-the-all-female-army-that-protected-modern-day-benin","true","false","97","false","false","3","non-article"
"176","future","false","false","6","false","false","0","non-article"
